"","city","avgRating"
"11963","Mulberry",NA
"11964","Mount Vernon",NA
"11965","Alnwick",0.909
"11966","Sunbright",NA
"11967","Tiptonville",NA
"11968","Culleoka",NA
"11969","Baneberry",NA
"11970","Wartburg",NA
"11971","Signal Mountain",NA
"11972","Darden",NA
"11973","Lutts",NA
"11974","Lewisburg",NA
"11975","Lone Oak",NA
"11976","Prospect",NA
"11977","Hornsby",NA
"11978","Limestone",NA
"11979","Fairmount",NA
"11980","Minor Hill",NA
"11981","Clifton",NA
"11982","Oakland",NA
"11983","Colonial Heights",NA
"11984","Springville",NA
"11985","Franklinville",0.877
"11986","Brewster",0.907
"11987","East Middletown",0.917
"11988","Bay Shore",0.884
"11989","Jefferson Heights",NA
"11990","Kensington",0.898
"11991","Hortonville",NA
"11992","Dundee",0.909
"11993","Bolivar",NA
"11994","Wayland",0.84
"11995","Fishers Landing",0.884
"11996","East Greenbush",0.901
"11997","West Nyack",0.9
"11998","Shawnee",NA
"11999","Malverne",0.897
"12000","Quiogue",0.896
"12001","Valley Stream",0.897
"12002","Pomona",0.91
"12003","Perrysburg",NA
"12004","Marcellus",0.92
"12005","Central Valley",0.907
"12006","Liverpool",0.917
"12007","Oakdale",0.883
"12008","Great Neck Plaza",0.898
"12009","Verona",0.912
"12010","Greenwood Lake",0.904
"12011","Loon Lake",NA
"12012","Canisteo",NA
"12013","Brushton",NA
"12014","Pamelia Center",NA
"12015","Alden",0.903
"12016","Hannawa Falls",NA
"12017","Gates Center",0.932
"12018","Harrison Grove",NA
"12019","Brightwaters",0.875
"12020","Laurel",0.909
"12021","Shirley",0.901
"12022","Atlanta",NA
"12023","New Berlin",NA
"12024","Antwerp",NA
"12025","Port Kent",NA
"12026","The Glen",NA
"12027","South Blooming Grove",0.909
"12028","Green Island",NA
"12029","East Glenville",NA
"12030","Clifton Springs",0.939
"12031","Montrose",0.91
"12032","Poestenkill",NA
"12033","Hancock",NA
"12034","Mattydale",0.919
"12035","Corwin",NA
"12036","Minoa",0.922
"12037","Canton",NA
"12038","Peconic",0.911
"12039","Noyack",0.916
"12040","Richburg",NA
"12041","Plattsburgh",NA
"12042","Williamson",0.947
"12043","East Patchogue",0.902
"12044","Highland Falls",0.912
"12045","Interlaken",0.918
"12046","Hannibal",0.888
"12047","Wellsburg",NA
"12048","Colonial Village",NA
"12049","Garden City South",0.897
"12050","Freeville",NA
"12051","Goshen",0.913
"12052","Margaretville",NA
"12053","Old Forge",NA
"12054","Keuka",0.887
"12055","Fort Edward",NA
"12056","Hampton Manor",0.921
"12057","Groton",NA
"12058","Sands Point",0.898
"12059","Cooperstown",NA
"12060","Livingston Manor",NA
"12061","Lakeview",0.897
"12062","Napanoch",NA
"12063","Plandome",0.898
"12064","South Valley Stream",0.897
"12065","Brasher Falls",NA
"12066","Theresa",NA
"12067","Syracuse",0.919
"12068","Plessis",NA
"12069","Windsor",NA
"12070","North Lynbrook",0.897
"12071","Port Jervis",0.917
"12072","Dolgeville",NA
"12073","Corfu",0.92
"12074","Sodus Point",NA
"12075","Hampton Bays",0.903
"12076","Shoreham",0.898
"12077","Westmoreland",NA
"12078","Saint Bonaventure",NA
"12079","Jewettville",0.918
"12080","Paul Smiths",NA
"12081","Duane Lake",NA
"12082","Schuyler Lake",NA
"12083","Fishkill",0.916
"12084","Downsville",0.912
"12085","Blodgett Mills",NA
"12086","Marion",0.947
"12087","Cumminsville",NA
"12088","Williston Park",0.898
"12089","Castleton-on-Hudson",0.902
"12090","Oceanside",0.898
"12091","Yorkshire",NA
"12092","Sherman",NA
"12093","Sunset Bay",NA
"12094","Hewlett Neck",0.897
"12095","New Hempstead",0.898
"12096","Salem",NA
"12097","Hamilton",NA
"12098","Eagle Valley",0.912
"12099","Jones Point",0.912
"12100","Copiague",0.892
"12101","Port Chester",0.9
"12102","Stillwater",NA
"12103","Mountain Lodge Park",0.912
"12104","South Corning",NA
"12105","Balmville",0.915
"12106","Houghton",NA
"12107","Ransomville",NA
"12108","Herrings",NA
"12109","North White Plains",0.9
"12110","Wading River",0.896
"12111","Greene",NA
"12112","Wurtsboro",0.934
"12113","Honeoye",0.936
"12114","Springs",0.912
"12115","Seneca Falls",NA
"12116","Clinton",NA
"12117","Evans Mills",NA
"12118","Canandaigua",0.935
"12119","Bardonia",0.897
"12120","Miller Place",0.904
"12121","De Lancey",NA
"12122","Speculator",NA
"12123","Westvale",0.92
"12124","Lyons",0.939
"12125","Winthrop",NA
"12126","Bellport",0.903
"12127","Sylvan Beach",0.912
"12128","Almond",NA
"12129","Andes",NA
"12130","Cherryplain",NA
"12131","Tappan",0.896
"12132","West Sayville",0.876
"12133","Lockport",NA
"12134","Beach Ridge",NA
"12135","Baldwin",0.898
"12136","Valhalla",0.901
"12137","Wyandanch",0.911
"12138","Deposit",NA
"12139","Dexter",NA
"12140","Glasco",NA
"12141","Blasdell",0.889
"12142","Niverville",0.901
"12143","West Hampton Dunes",0.906
"12144","North Bay Shore",0.904
"12145","Saratoga Springs",NA
"12146","Lansing",NA
"12147","Lisle",NA
"12148","Rome",0.925
"12149","Fleischmanns",NA
"12150","Clover Bank",0.908
"12151","Glenwood Landing",0.896
"12152","Penn Yan",NA
"12153","North Patchogue",0.895
"12154","Manorville",0.897
"12155","Mechanicville",NA
"12156","Shelter Island",0.906
"12157","Northville",NA
"12158","Lyndonville",NA
"12159","Cumberland Head",NA
"12160","Fire Island",0.875
"12161","Shinnecock Hills",0.9
"12162","Croton Heights",0.907
"12163","Farmingville",0.887
"12164","Pine Plains",NA
"12165","Burt",NA
"12166","Bergholtz",NA
"12167","Great Neck Estates",0.898
"12168","Locust Valley",0.902
"12169","Asharoken",0.904
"12170","Yaphank",0.888
"12171","Cheektowaga",0.897
"12172","Valley Falls",NA
"12173","Dover Plains",0.922
"12174","Vernon",0.91
"12175","Poquott",0.909
"12176","Corning",NA
"12177","Bedford Center",0.905
"12178","Akron",0.897
"12179","Cobleskill",NA
"12180","Copake Lake",NA
"12181","Commack",0.904
"12182","Avoca",0.867
"12183","Chadwicks",NA
"12184","Brighton",0.94
"12185","Latham",0.915
"12186","Cove Neck",0.897
"12187","East Randolph",0.931
"12188","Wappingers Falls",0.922
"12189","Baxter Estates",0.898
"12190","Clayville",NA
"12191","Colonie",NA
"12192","Ellenburg Depot",NA
"12193","Pultneyville",0.948
"12194","Westhampton",0.901
"12195","Flanders",0.891
"12196","Airmont",0.899
"12197","Brewerton",0.913
"12198","North Syracuse",0.919
"12199","Lyncourt",0.919
"12200","Ellenville",NA
"12201","Averill Park",NA
"12202","Albion",NA
"12203","Burdett",0.916
"12204","Fredonia",NA
"12205","Cranberry Lake",NA
"12206","Warrens Corners",NA
"12207","West Seneca",0.905
"12208","Pine Valley",0.916
"12209","Bath",0.855
"12210","Pelham Manor",0.896
"12211","Cattaraugus",0.922
"12212","Victory Mills",NA
"12213","Madrid",NA
"12214","South Lima",0.937
"12215","North Evans",0.906
"12216","Piffard",0.935
"12217","East Massapequa",0.891
"12218","Oyster Bay",0.899
"12219","Putnam Lake",0.913
"12220","Homer",NA
"12221","Oxford",NA
"12222","Mount Ivy",0.915
"12223","Viola",0.898
"12224","Centereach",0.899
"12225","Chestertown",NA
"12226","Forestville",NA
"12227","Salisbury",0.896
"12228","Swormville",NA
"12229","Newfane",NA
"12230","Cato",0.915
"12231","Lake Katrine",NA
"12232","Sanborn",NA
"12233","Savona",0.859
"12234","Utica",NA
"12235","Nassau Shores",0.891
"12236","Fair Haven",NA
"12237","Chaumont",0.902
"12238","Arden",0.909
"12239","Ticonderoga",NA
"12240","Holland",NA
"12241","Mooers",NA
"12242","Dresden",0.925
"12243","Lakewood",NA
"12244","Thousand Island Park",0.895
"12245","North Sea",0.905
"12246","Websters Crossing",0.866
"12247","Russell Gardens",0.898
"12248","Eldred",NA
"12249","Sabattis",NA
"12250","Lake Grove",0.9
"12251","Center Moriches",0.904
"12252","Clayton",0.888
"12253","Hopewell Junction",0.921
"12254","Jordan",0.923
"12255","Nanuet",0.9
"12256","Hoosick Falls",NA
"12257","Cutchogue",0.914
"12258","Glenville",0.9
"12259","Sound Beach",0.904
"12260","Lakeland",0.919
"12261","South Salem",0.902
"12262","Brookville",0.9
"12263","Star Lake",NA
"12264","Leonardsville",NA
"12265","Laurens",NA
"12266","North Hills",0.898
"12267","Canaseraga",NA
"12268","Jefferson Valley",0.907
"12269","West Glens Falls",NA
"12270","Nelsonville",0.914
"12271","Cazenovia",0.917
"12272","Fort Ann",NA
"12273","Oriskany Falls",NA
"12274","Woodsville",0.881
"12275","Mount Morris",0.879
"12276","Bayport",0.897
"12277","Nunda",NA
"12278","North Boston",0.919
"12279","Brandreth",NA
"12280","Sinclairville",NA
"12281","Le Roy",0.925
"12282","Hawthorne",0.901
"12283","Orchard Park",0.91
"12284","Suffern",0.898
"12285","Phelps",0.94
"12286","Arkport",NA
"12287","Mexico",0.893
"12288","Toddville",0.91
"12289","Pittsford",0.94
"12290","East Syracuse",0.919
"12291","Raymondville",NA
"12292","Otego",NA
"12293","Port Washington North",0.898
"12294","Schoharie",NA
"12295","Head of the Harbor",0.906
"12296","Munnsville",0.917
"12297","Saint James",0.898
"12298","Shrub Oak",0.906
"12299","Crown Heights",NA
"12300","Greece",0.932
"12301","New Rochelle",0.896
"12302","Newport",NA
"12303","Broadalbin",NA
"12304","Old Brookville",0.896
"12305","Marathon",NA
"12306","Sag Harbor",0.906
"12307","Cragsmoor",0.93
"12308","Byersville",NA
"12309","Stony Point",0.909
"12310","Nashville",NA
"12311","Arlington",NA
"12312","Levittown",0.899
"12313","Old Westbury",0.896
"12314","Salisbury Mills",0.912
"12315","Montgomery",0.924
"12316","Newark",0.939
"12317","Afton",NA
"12318","Lodi",0.93
"12319","Sparkill",0.899
"12320","Pine Hill",NA
"12321","Warwick",0.903
"12322","Chestnut Ridge",0.9
"12323","Inwood",0.897
"12324","Waterloo",NA
"12325","Addison",NA
"12326","Accord",NA
"12327","Candor",NA
"12328","Slaterville Springs",NA
"12329","Dobbs Ferry",0.896
"12330","Delhi",NA
"12331","Monticello",NA
"12332","East Branch",NA
"12333","Croghan",NA
"12334","Ossining",0.915
"12335","North Creek",NA
"12336","Woodmere",0.897
"12337","Medford",0.886
"12338","Newark Valley",NA
"12339","Hamburg",0.908
"12340","North Rose",NA
"12341","Avon",0.933
"12342","Hillside Manor",0.898
"12343","Lake Mohegan",0.906
"12344","Cohocton",0.869
"12345","Morrisonville",0.886
"12346","Brier Hill",NA
"12347","Glen Head",0.898
"12348","New York Mills",NA
"12349","Great Bend",NA
"12350","Colton",NA
"12351","South Dayton",NA
"12352","Twin Lakes Village",0.902
"12353","Billington Heights",0.918
"12354","Pine Bush",0.921
"12355","Middletown",0.914
"12356","Lindenhurst",0.891
"12357","Holcomb",0.94
"12358","Geneseo",0.91
"12359","Little Valley",0.916
"12360","Philmont",NA
"12361","Port Dickinson",NA
"12362","Victor",0.936
"12363","Brookhaven",0.901
"12364","Lynbrook",0.897
"12365","Maybrook",0.925
"12366","Schenectady",NA
"12367","Mastic",0.902
"12368","Port Ewen",NA
"12369","Phoenicia",NA
"12370","New Woodstock",0.918
"12371","Cairo",NA
"12372","Argyle",NA
"12373","Buffalo",NA
"12374","Big Moose",NA
"12375","Rushford",0.889
"12376","Weston Mills",NA
"12377","West Bay Shore",0.879
"12378","Hartwick",NA
"12379","Vails Gate",0.915
"12380","Walden",0.915
"12381","Roslyn",0.898
"12382","Deer Park",0.906
"12383","Witherbee",NA
"12384","Tarrytown",0.901
"12385","Hagaman",NA
"12386","Flower Hill",0.898
"12387","Schuylerville",NA
"12388","Albertson",0.898
"12389","Fabius",0.916
"12390","Branchport",0.879
"12391","Frankfort",NA
"12392","Fishers Island",NA
"12393","Armor",0.91
"12394","Long Lake",NA
"12395","Schroon Lake",NA
"12396","Woodbourne",NA
"12397","Liberty",NA
"12398","Beaver Dam Lake",0.912
"12399","Hyde Park",NA
"12400","Queens",0.898
"12401","Wesley Hills",0.913
"12402","Petersburg",NA
"12403","Huntington Station",0.908
"12404","Granville",NA
"12405","Harbor Isle",0.897
"12406","Plainedge",0.898
"12407","Scarborough",0.9
"12408","Wanakah",0.908
"12409","Palenville",NA
"12410","Carlisle Gardens",NA
"12411","Katonah",0.905
"12412","East Quogue",0.898
"12413","Setauket",0.908
"12414","Bedford Hills",0.905
"12415","Castile",NA
"12416","Plandome Manor",0.898
"12417","Thiells",0.915
"12418","Carle Place",0.898
"12419","Glens Falls",NA
"12420","Middle Island",0.896
"12421","New Milford",0.897
"12422","Manchester",0.941
"12423","Chatham",0.906
"12424","Plandome Heights",0.898
"12425","Harbor Hills",0.898
"12426","Alpine",NA
"12427","Freeport",0.898
"12428","Riverhead",0.901
"12429","Saugerties",NA
"12430","Edenville",0.912
"12431","Tillson",NA
"12432","Thornwood",0.899
"12433","Tupper Lake",NA
"12434","Hartsdale",0.899
"12435","Cold Spring",0.914
"12436","Hastings-on-Hudson",0.896
"12437","Baiting Hollow",0.897
"12438","Rhinecliff",NA
"12439","South Farmingdale",0.896
"12440","Mastic Beach",0.905
"12441","Horseheads",0.905
"12442","Lloyd Harbor",0.91
"12443","Poland",NA
"12444","Pelham",0.896
"12445","Moravia",0.915
"12446","Islandia",0.88
"12447","Sterling Forest",0.907
"12448","Malone",NA
"12449","Atlantic Beach",0.897
"12450","Angola",0.908
"12451","Red Hook",NA
"12452","Cohoes",NA
"12453","North Wantagh",0.895
"12454","Red Mills",NA
"12455","Manhasset Hills",0.898
"12456","Batavia",NA
"12457","Southold",0.908
"12458","Erin",0.916
"12459","Pleasantville",0.915
"12460","Tuscarora",NA
"12461","Terryville",0.906
"12462","White Plains",0.9
"12463","Middleport",0.879
"12464","Port Henry",NA
"12465","Huntington",0.908
"12466","Elbridge",0.927
"12467","Hauppauge",0.907
"12468","Holley",0.914
"12469","Wadsworth",0.911
"12470","Verplanck",0.912
"12471","Pine Aire",0.904
"12472","Ontario",0.942
"12473","Belfast",NA
"12474","Port Gibson",0.939
"12475","Bronxville",0.896
"12476","Lattingtown",0.902
"12477","West Winfield",NA
"12478","Schenevus",NA
"12479","Sherrill",0.919
"12480","Massapequa Park",0.896
"12481","Walton",NA
"12482","Bayville",0.899
"12483","East Atlantic Beach",0.897
"12484","Bliss",NA
"12485","Grandyle Village",NA
"12486","Waterford",NA
"12487","Chenango Bridge",NA
"12488","Watertown",NA
"12489","East Setauket",0.908
"12490","Caroga Lake",NA
"12491","Loudonville",0.92
"12492","Painted Post",NA
"12493","Salamanca",0.932
"12494","Mount Kisco",0.909
"12495","Jamesport",0.909
"12496","Remsenburg",0.906
"12497","South Hempstead",0.897
"12498","Churchville",0.932
"12499","Altmar",0.897
"12500","Medina",NA
"12501","Jeffersonville",NA
"12502","Walton Park",0.907
"12503","Ladentown",0.91
"12504","Elmsford",0.9
"12505","West End",NA
"12506","Celoron",NA
"12507","McGraw",NA
"12508","New City",0.9
"12509","DeRuyter",0.912
"12510","Alexander",NA
"12511","Pike",NA
"12512","Orangeburg",0.899
"12513","Clarence Center",0.897
"12514","Olcott",NA
"12515","Esperance",NA
"12516","Haviland",NA
"12517","Rye Brook",0.897
"12518","University Gardens",0.898
"12519","Little Falls",NA
"12520","Allegany",NA
"12521","Roosevelt",0.898
"12522","Coxsackie",NA
"12523","Calcium",NA
"12524","Heuvelton",NA
"12525","Sodus",0.95
"12526","Waccabuc",0.902
"12527","Westmere",NA
"12528","North Bellport",0.898
"12529","Washington Heights",0.918
"12530","Central Islip",0.88
"12531","Westbury",0.897
"12532","Freedom Plains",NA
"12533","Northport",0.901
"12534","Pavilion",0.901
"12535","East Moriches",0.895
"12536","Kysorville",NA
"12537","Watchtower",NA
"12538","Lacona",NA
"12539","Catskill",NA
"12540","Quogue",0.9
"12541","Auburn",0.923
"12542","Hillside",NA
"12543","Upper Brookville",0.904
"12544","Lake Erie Beach",0.904
"12545","Roessleville",NA
"12546","Saranac Lake",NA
"12547","Clark Mills",NA
"12548","Lima",0.941
"12549","Shokan",NA
"12550","Bergen",0.927
"12551","Salt Point",NA
"12552","Newburgh",0.916
"12553","Strykersville",0.909
"12554","Mill Neck",0.902
"12555","Rocky Point",0.902
"12556","Waterville",NA
"12557","Sharon Springs",NA
"12558","New Square",0.898
"12559","Philadelphia",NA
"12560","Port Jefferson Station",0.902
"12561","Ludlowville",NA
"12562","Bay Wood",0.904
"12563","Smithtown",0.907
"12564","Potsdam",NA
"12565","Hillside Lake",0.921
"12566","Pendleton Center",NA
"12567","Woodridge",0.924
"12568","Sea Cliff",0.898
"12569","Tahawus",NA
"12570","Westport",NA
"12571","Naples",NA
"12572","East Islip",0.883
"12573","Clarkson",0.916
"12574","Stony Brook",0.911
"12575","Lake Placid",NA
"12576","Shelter Island Heights",0.908
"12577","Nicholville",NA
"12578","Cayuga",0.916
"12579","Floral Park",0.898
"12580","Big Tree",0.905
"12581","East Hills",0.898
"12582","Merrick",0.895
"12583","Nesconset",0.904
"12584","Greenvale",0.896
"12585","Delanson",NA
"12586","Cambridge",NA
"12587","Amityville",0.891
"12588","Willsboro",NA
"12589","Caledonia",0.938
"12590","Hall",0.923
"12591","Lorenz Park",NA
"12592","Scotts Corners",0.909
"12593","Hurley",NA
"12594","Hemlock",0.936
"12595","Dansville",NA
"12596","Morrisville",0.918
"12597","Cuylerville",0.899
"12598","Hoffman",NA
"12599","Williamsville",NA
"12600","Highland Mills",0.907
"12601","Barnum Island",0.898
"12602","Rockville Centre",0.897
"12603","Munsey Park",0.898
"12604","Oyster Bay Cove",0.896
"12605","Pomona Heights",0.913
"12606","Hailesboro",NA
"12607","Croton-on-Hudson",0.913
"12608","Parc",NA
"12609","North Haven",0.908
"12610","North Collins",0.903
"12611","Glen Park",NA
"12612","Saddle Rock Estates",0.898
"12613","Wrights Corners",NA
"12614","Millbrook",NA
"12615","Sherburne",NA
"12616","Pond Eddy",0.92
"12617","Randolph",0.931
"12618","Otisville",0.914
"12619","Kingston",NA
"12620","Romulus",NA
"12621","Elmira",NA
"12622","Mayville",NA
"12623","Hillcrest",0.898
"12624","Monroe",0.907
"12625","Germantown",NA
"12626","Amsterdam",NA
"12627","Copenhagen",NA
"12628","Herricks",0.898
"12629","Saint Johnsburg",NA
"12630","Brinckerhoff",0.92
"12631","Peekskill",0.91
"12632","Lewiston",NA
"12633","Hammond",NA
"12634","Ridge",0.892
"12635","Stewart Manor",0.898
"12636","Central Bridge",NA
"12637","Harrisville",NA
"12638","South Colton",NA
"12639","Woodsburgh",0.897
"12640","Wilson",NA
"12641","Richmondville",NA
"12642","Dix Hills",0.906
"12643","Morristown",NA
"12644","Southfields",0.909
"12645","Ogdensburg",NA
"12646","Fultonville",0.888
"12647","Uniondale",0.898
"12648","Matinecock",0.899
"12649","Scio",NA
"12650","Henderson",NA
"12651","Chautauqua",NA
"12652","Aquebogue",0.908
"12653","Lyons Falls",NA
"12654","Portville",NA
"12655","Elmont",0.898
"12656","Pearl River",0.899
"12657","Hornell",NA
"12658","Great Neck Gardens",0.898
"12659","Lyndon",0.919
"12660","Constableville",NA
"12661","Odessa",0.921
"12662","Model City",NA
"12663","Herkimer",NA
"12664","New Paltz",NA
"12665","Depauville",NA
"12666","Loch Sheldrake",NA
"12667","Albany",0.92
"12668","Wainscott",0.907
"12669","Alexandria Bay",NA
"12670","Delevan",NA
"12671","Bedford",0.909
"12672","Wyoming",NA
"12673","Breesport",0.925
"12674","Middleville",NA
"12675","Eggertsville",NA
"12676","Cornwall-on-Hudson",0.913
"12677","Saddle Rock",0.898
"12678","Pottersville",NA
"12679","Dryden",NA
"12680","Kiryas Joel",0.907
"12681","Olean",NA
"12682","Farmingdale",0.896
"12683","Gorham",NA
"12684","Warrensburg",NA
"12685","Lincoln Park",NA
"12686","Bolton Landing",NA
"12687","Ridgewood",NA
"12688","Niagara Falls",NA
"12689","Barneveld",NA
"12690","Gouverneur",NA
"12691","Lackawanna",0.889
"12692","West Haverstraw",0.915
"12693","Endicott",NA
"12694","New Windsor",0.916
"12695","Blue Point",0.9
"12696","Redford",NA
"12697","Lime Lake",NA
"12698","Pierrepont Manor",NA
"12699","Buchanan",0.908
"12700","Selden",0.904
"12701","Andover",NA
"12702","South New Berlin",NA
"12703","Melrose Park",0.918
"12704","Bridgehampton",0.906
"12705","Livonia",0.92
"12706","Camden",0.924
"12707","Palisades",0.896
"12708","Dalton",NA
"12709","Unadilla",NA
"12710","Oak Beach",0.885
"12711","Red Creek",0.935
"12712","Vista",0.9
"12713","Saint Johnsville",0.926
"12714","Rochester",0.94
"12715","Whitney Point",NA
"12716","Ilion",NA
"12717","Bridgewater",NA
"12718","Porter Center",NA
"12719","Ellicottville",NA
"12720","Fort Salonga",0.901
"12721","Stella Niagara",NA
"12722","West Gilgo Beach",0.893
"12723","Roslyn Heights",0.898
"12724","Cold Brook",NA
"12725","West Babylon",0.895
"12726","Manorhaven",0.898
"12727","Babylon",0.879
"12728","Watervliet",NA
"12729","Macedon",0.94
"12730","Appleton",NA
"12731","South Fallsburg",NA
"12732","Ocean Beach",0.882
"12733","Roslyn Estates",0.898
"12734","Valley Cottage",0.9
"12735","Hempstead",0.897
"12736","Amenia",NA
"12737","Cayuga Heights",NA
"12738","Ravena",0.901
"12739","Aurora",NA
"12740","Websters Corners",0.905
"12741","Lake View",0.896
"12742","Remsen",NA
"12743","Country Knolls",NA
"12744","Huntington Bay",0.908
"12745","New York",0.898
"12746","Leeds",NA
"12747","Old Bethpage",0.897
"12748","Scranton",0.905
"12749","Tomkins Cove",0.908
"12750","Keeseville",NA
"12751","Tallman",0.898
"12752","Whitesboro",NA
"12753","Southampton",0.896
"12754","Scarsdale",0.901
"12755","Endwell",NA
"12756","West Chazy",NA
"12757","Narrowsburg",NA
"12758","Bridgeport",0.901
"12759","Glenfield",NA
"12760","East Farmingdale",0.896
"12761","Florida",0.908
"12762","East Wilson",NA
"12763","Hobart",NA
"12764","Morris",NA
"12765","Richfield Springs",NA
"12766","Rouses Point",NA
"12767","Massapequa",0.897
"12768","North Babylon",0.904
"12769","Bronx",0.898
"12770","Town Line",0.903
"12771","Whitesville",NA
"12772","Friendship",NA
"12773","Amagansett",0.906
"12774","Fulton",0.888
"12775","Newton Falls",NA
"12776","Chateaugay",NA
"12777","Shenorock",0.906
"12778","Zena",NA
"12779","Towers Corners",NA
"12780","Briarcliff Manor",0.9
"12781","Wantagh",0.895
"12782","Seaford",0.895
"12783","Spring Brook",0.91
"12784","West Valley",NA
"12785","Cherry Creek",NA
"12786","Prattsville",NA
"12787","Alder Creek",NA
"12788","North Gates",0.932
"12789","Irvington",0.899
"12790","Vestal Center",NA
"12791","Plattekill",NA
"12792","North Valley Stream",0.897
"12793","East Norwich",0.9
"12794","Montour Falls",0.921
"12795","Washingtonville",0.908
"12796","Harriman",0.907
"12797","Poughkeepsie",NA
"12798","Panama",NA
"12799","Firthcliffe",0.915
"12800","Hadley",NA
"12801","Bay View",0.905
"12802","South Huntington",0.909
"12803","Clyde",NA
"12804","Lido Beach",0.898
"12805","Mineola",0.898
"12806","Patchogue",0.895
"12807","Duanesburg",NA
"12808","Sagaponack",0.903
"12809","Riverside",NA
"12810","Sayville",0.904
"12811","Turin",NA
"12812","East Avon",0.942
"12813","Livonia Center",0.937
"12814","Eastport",0.901
"12815","Bay Park",0.897
"12816","Clarence",0.897
"12817","Johnson City",NA
"12818","Stannards",NA
"12819","Marlboro",0.918
"12820","North Great River",0.884
"12821","Gardiner",NA
"12822","Constantia",0.898
"12823","Crugers",0.913
"12824","Spencer",0.918
"12825","Lake Carmel",0.912
"12826","Brockport",0.913
"12827","Tonawanda",NA
"12828","Lake Ronkonkoma",0.901
"12829","Baldwin Harbor",0.898
"12830","East White Plains",0.9
"12831","Waddington",NA
"12832","Mamaroneck",0.896
"12833","Grand View-on-Hudson",0.899
"12834","East Rochester",0.94
"12835","Greenport",0.908
"12836","Depew",0.897
"12837","Nichols",0.911
"12838","Mohawk",NA
"12839","Rye",0.902
"12840","West Hempstead",0.897
"12841","Adams",NA
"12842","South Nyack",0.899
"12843","Ovid",NA
"12844","Irondequoit",0.937
"12845","Brocton",NA
"12846","New Hartford",NA
"12847","Nissequogue",0.901
"12848","Mayfield",NA
"12849","Weedsport",0.923
"12850","Haverstraw",0.915
"12851","Norwood",NA
"12852","Gordon Heights",0.896
"12853","Retsof",0.935
"12854","Fayetteville",0.922
"12855","South Hill",NA
"12856","Hermon",NA
"12857","Machias",NA
"12858","Chittenango",0.901
"12859","Old Field",0.908
"12860","Prattsburgh",0.877
"12861","Fillmore",NA
"12862","Speonk",0.906
"12863","Fonda",0.888
"12864","North Hornell",NA
"12865","Worcester",NA
"12866","Calverton",0.898
"12867","Bethpage",0.898
"12868","Fort Montgomery",0.909
"12869","Cape Vincent",NA
"12870","Harrison",0.9
"12871","Cleveland",0.901
"12872","Campbell",0.862
"12873","Edgewater",NA
"12874","Tuxedo Park",0.901
"12875","Round Lake",NA
"12876","Palmyra",0.947
"12877","Farnham",0.912
"12878","Rodman",NA
"12879","Elba",0.916
"12880","North Chili",0.931
"12881","Purchase",0.899
"12882","Sauquoit",NA
"12883","Edwards",NA
"12884","Fowlerville",0.92
"12885","Athens",NA
"12886","Cedarville",NA
"12887","Pulaski",NA
"12888","Hamlin",0.916
"12889","Chappaqua",0.916
"12890","Menands",0.918
"12891","Boonville",0.913
"12892","Cassville",NA
"12893","Norfolk",NA
"12894","Richville",NA
"12895","Ronkonkoma",0.906
"12896","Armonk",0.917
"12897","Lake George",NA
"12898","Van Cortlandtville",0.908
"12899","Brewster Hill",0.909
"12900","Woodstock",NA
"12901","Cortland",NA
"12902","Sandy Creek",NA
"12903","Bellvale",0.903
"12904","Palatine Bridge",0.894
"12905","Norwich",NA
"12906","Hudson Falls",NA
"12907","Millerton",NA
"12908","Hunter",NA
"12909","Bowmansville",0.897
"12910","Wynantskill",NA
"12911","Bellerose",0.898
"12912","Durhamville",0.912
"12913","Falconer",NA
"12914","Fairview",0.9
"12915","Honeoye Falls",0.941
"12916","Garden City",0.898
"12917","Lonelyville",0.882
"12918","Nassau",0.903
"12919","Northwest Harbor",0.912
"12920","Millport",0.906
"12921","New Cassel",0.897
"12922","Port Jefferson",0.905
"12923","Baldwinsville",0.921
"12924","Centerport",0.907
"12925","Hillburn",0.898
"12926","Red Oaks Mill",NA
"12927","Napeague",0.916
"12928","Youngstown",NA
"12929","Coram",0.894
"12930","Village Green",0.919
"12931","Canastota",0.922
"12932","Walker Valley",0.925
"12933","Saltaire",0.885
"12934","Champlain",NA
"12935","Barryville",NA
"12936","Washington Mills",NA
"12937","Seneca Knolls",0.919
"12938","Silver Springs",NA
"12939","Gansevoort",NA
"12940","High Falls",NA
"12941","Franklin Square",0.897
"12942","Willsboro Point",NA
"12943","Ballston Spa",NA
"12944","Spackenkill",NA
"12945","Hampton",NA
"12946","Fairport",0.94
"12947","Scottsburg",0.882
"12948","Windham",NA
"12949","Hogansburg",NA
"12950","Leicester",0.902
"12951","Westfield",NA
"12952","Oswego",0.901
"12953","Woodbury",0.907
"12954","Smyrna",NA
"12955","Yorkville",NA
"12956","Unionville",0.919
"12957","Forest Home",NA
"12958","Hilton",0.919
"12959","Saint Regis Falls",NA
"12960","Linwood",0.921
"12961","South Lockport",NA
"12962","Moriches",0.903
"12963","Furnace Woods",0.91
"12964","East Marion",0.907
"12965","Monsey",0.898
"12966","North Tonawanda",NA
"12967","North Massapequa",0.898
"12968","Laurel Hollow",0.895
"12969","Port Washington",0.898
"12970","Annsville",0.911
"12971","Wisner",0.91
"12972","Elma Center",0.907
"12973","Jamestown",NA
"12974","East Nassau",0.902
"12975","Wallkill",0.923
"12976","Roe Park",0.911
"12977","Titusville",NA
